clk		we		re		full		empty		din		dout		wr_ptr		rd_ptr		looped
0		0		0		0		0		000000000		000000000		000000		000000		0
1		0		0		0		0		000000000		000000000		000000		000000		0
0		0		0		0		0		000000000		000000000		000000		000000		0
1		0		0		0		0		000000000		000000000		000000		000000		0
0		0		0		0		0		000000001		000000000		000000		000000		0
1		0		0		0		0		000000001		000000000		000000		000000		0
0		0		0		0		0		000000010		000000000		000000		000000		0
1		0		0		0		0		000000010		000000000		000000		000000		0
0		0		0		0		0		000000011		000000000		000000		000000		0
1		0		0		0		0		000000011		000000000		000000		000000		0
0		1		1		0		0		000000100		000000000		000000		000000		0
1		1		1		0		0		000000100		000000000		000000		000000		0
1		1		1		0		1		000000100		000000000		000001		000000		0
0		1		1		0		1		000000101		000000000		000001		000000		0
1		1		1		0		1		000000101		000000000		000001		000000		0
1		1		1		0		0		000000101		000000100		000010		000001		0
0		1		0		0		0		000000110		000000100		000010		000001		0
1		1		0		0		0		000000110		000000100		000010		000001		0
0		0		1		0		0		000000111		000000100		000011		000001		0
1		0		1		0		0		000000111		000000100		000011		000001		0
0		0		0		0		0		000001000		000000101		000011		000010		0
1		0		0		0		0		000001000		000000101		000011		000010		0
0		1		0		0		0		000001001		000000101		000011		000010		0
1		1		0		0		0		000001001		000000101		000011		000010		0
0		1		0		0		0		000001010		000000101		000100		000010		0
1		1		0		0		0		000001010		000000101		000100		000010		0
0		0		0		0		0		000001011		000000101		000101		000010		0
1		0		0		0		0		000001011		000000101		000101		000010		0
0		0		0		0		0		000001100		000000101		000101		000010		0
1		0		0		0		0		000001100		000000101		000101		000010		0
0		0		0		0		0		000001101		000000101		000101		000010		0
1		0		0		0		0		000001101		000000101		000101		000010		0
0		0		0		0		0		000001110		000000101		000101		000010		0
1		0		0		0		0		000001110		000000101		000101		000010		0
0		1		0		0		0		000001111		000000101		000101		000010		0
1		1		0		0		0		000001111		000000101		000101		000010		0
0		1		0		0		0		000010000		000000101		000110		000010		0
1		1		0		0		0		000010000		000000101		000110		000010		0
0		0		1		0		0		000010001		000000101		000111		000010		0
1		0		1		0		0		000010001		000000101		000111		000010		0
0		1		0		0		0		000010010		000000110		000111		000011		0
